Question,Answer
"What was the cause of Hồ Chí Minh's death, and where did it occur?","With the outcome of the Vietnam war still in question, Hồ Chí Minh died of heart failure at his home in Hanoi at 9 on the morning of 2 September 1969; he was 79 years old."
"What was Hồ Chí Minh's wish regarding his burial, and where is his body currently located?","His embalmed body is currently on display in a mausoleum in Ba Đình Square in Hanoi, despite his will which stated that he wanted to be cremated."
Why did the North Vietnamese government originally delay announcing Hồ Chí Minh's death?,"Due to the sensitivity of 2 September being Independence Day, the North Vietnamese government originally delayed announcing Hồ's death until 3 September."
How long was the period of mourning decreed nationwide in North Vietnam after Hồ Chí Minh's death?,A week of mourning for his death was decreed nationwide in North Vietnam from 4 to 11 September 1969.
"How many people attended Hồ Chí Minh's funeral, and how many official guests were present?","His funeral was attended by about 250,000 people and 5,000 official guests, which included many international mourners."
Which countries and regions were represented by representatives at Hồ Chí Minh's funeral?,Representatives from 40 countries and regions were also presented.
"During the mourning period, how many condolences letters did North Vietnam receive and from which countries?","During the mourning period, North Vietnam received more than 22,000 condolences letters from 20 organizations and 110 countries across the world, such as France, Ethiopia, Yugoslavia, Cuba, Zambia, China, the USSR and many others, mostly Socialist countries."
"What leadership structure took over after Hồ Chí Minh's death, and what was it called?","He was not initially replaced as president; instead, a ""collective leadership"" composed of several ministers and military leaders took over, known as the Politburo."
"What famous song was often sung by PAVN soldiers during North Vietnam's final campaign in 1975, and who was the composer?","During North Vietnam's final campaign in 1975, a famous song written by composer Huy Thuc was often sung by PAVN soldiers: ""Bác vẫn cùng chúng cháu hành quân"" (""You are still marching with us, Uncle Hồ"")."
"During the Fall of Saigon on April 30, 1975, what did several PAVN tanks display?","During the Fall of Saigon on 30 April 1975, several PAVN tanks displayed a poster with those same words on it."
"Who reported that 'When the North Vietnamese marched into Saigon yesterday, they were led by a man who wasn't there'?","The day after the battle ended, on 1 May, veteran Australian journalist Denis Warner reported that ""When the North Vietnamese marched into Saigon yesterday, they were led by a man who wasn't there""."
How is Hồ Chí Minh's legacy praised by the Socialist Republic of Vietnam?,"The Socialist Republic of Vietnam still praises the legacy of Uncle Hồ (Bác Hồ), the Bringer of Light (Chí Minh)."
"What was Hồ Chí Minh's wish regarding his body after his death, and how does it contrast with what actually happened?","Although Hồ Chí Minh wished for his body to be cremated and his ashes spread to North, Central, and South Vietnam, the body instead is embalmed on view in a mausoleum."
Where can Hồ Chí Minh's image be found prominently displayed?,"His image is featured in many public buildings and schoolrooms, and other displays of reverence."
Can you describe one specific temple dedicated to Hồ Chí Minh and when it was built?,"There is at least one temple dedicated to him, built in then Việt Cộng-controlled Vĩnh Long shortly after his death in 1970."
"According to Duiker in The Communist Road to Power in Vietnam, what does Hồ Chí Minh's cult of personality indicate?","In The Communist Road to Power in Vietnam (1982), Duiker suggests that Hồ Chí Minh's cult of personality is indicative of a larger legacy, one that drew on ""elements traditional to the exercise of control and authority in Vietnamese society."""
What comparison does Duiker make between Vietnam and China regarding the exercise of control and authority?,"Duiker is drawn to an ""irresistible and persuasive"" comparison with China."
"Who were the leading party cadres likely to be in the interior of Vietnam, according to Duiker?","As in China, leading party cadres were ""most likely to be intellectuals descended from rural scholar-gentry families"" in the interior (the protectorates of Annam and Tonkin)."
"Who tended to be the pioneers of constitutional nationalism in Vietnam, according to Duiker?","Conversely, the pioneers of constitutional nationalism tended to be from the more ""Westernised"" coastal south (Saigon and surrounding French direct-rule Cochinchina) and to be from ""commercial families without a traditional Confucian background""."
"How did Communism in Vietnam present itself in relation to Confucianism, according to Duiker?","In Vietnam, as in China, Communism presented itself as a root and branch rejection of Confucianism, condemned for its ritualism, inherent conservatism, and resistance to change."
"How did the Vietnamese Communists approach Confucianism once in power, according to the information?","Once in power, the Vietnamese Communists may not have fought Confucianism ""as bitterly as did their Chinese counterparts"", but its social prestige was ""essentially destroyed."""
"What political change occurred in Vietnam regarding the representation of power, as stated in the information?","In the political sphere, the puppet son of heaven (which had been weakly represented by the Bảo Đại) was replaced by the people's republic."
What aspects of Confucianism were undermined by socialist collectivism and the socialist conception of social equality?,"Orthodox materialism accorded no place to heaven, gods, or other supernatural forces."
"According to Duiker, what similarities exist between the new ideology under Hồ Chí Minh and the teachings of Confucius?",Socialist collectivism undermined the tradition of the Confucian family leader (Gia Truong).
How does Duiker describe Hồ Chí Minh in relation to Confucian ethics?,The socialist conception of social equality destroyed the Confucian views of class.
"In what way did Vietnamese Marxism develop under Hồ Chí Minh, according to the information?","Duiker argues many were to find the new ideology ""congenial"" precisely because of its similarities with the teachings of the old Master: ""the belief in one truth, embodied in quasi-sacred texts""; in ""an anointed elite, trained in an all-embracing doctrine and responsible for leading the broad masses and indoctrinating them in proper thought and behavior""; in ""the subordination of the individual to the community""; and in the perfectibility, through corrective action, of human nature."
Who remarked on the 'congeniality' between Vietnamese Marxism and Confucian tradition?,"All of this, Duiker suggests, was in some manner present in the aura of the new Master, Chi Minh, ""the bringer of light"", ""Uncle Hồ"" to whom ""all the desirable qualities of Confucian ethics"" are ascribed."
What parallels did Nguyen Khac Vien see between Confucianism and party discipline in Vietnam?,"Under Hồ Chí Minh, Vietnamese Marxism developed, in effect, as a kind of ""reformed Confucianism"" revised to meet ""the challenges of the modern era"" and, not least among these, of ""total mobilization in the struggle for national independence and state power."""
Which leading Hanoi intellectual of the 1960s and 70s saw definite parallels between Confucianism and Marxism in Vietnam?,"This ""congeniality"" with Confucian tradition was remarked on by Nguyen Khac Vien, a leading Hanoi intellectual of the 1960s and 70s."
What did Nguyen Khac Vien observe in his work 'Confucianism and Marxism in Vietnam' regarding party discipline and traditional scholar gentry?,"In Confucianism and Marxism in Vietnam Nguyen Khac Vien, saw definite parallels between Confucian and party discipline, between the traditional scholar gentry and Hồ Chí Minh's party cadres."
"How is Hồ Chí Minh identified in Vietnamese folk religion, and what role does he supposedly play?","A completely different form of the cult of Hồ Chí Minh (and one tolerated by the government with uneasiness) is his identification in Vietnamese folk religion with the Jade Emperor, who supposedly incarnated again on earth as Hồ Chí Minh."
Through what means is Hồ Chí Minh believed to communicate from the spirit world?,"Today, Hồ Chí Minh as the Jade Emperor is supposed to speak from the spirit world through Spiritualist mediums."
"Who were the first Spiritualist mediums associated with the cult of Hồ Chí Minh, and when did they gain followers?","The first such medium was one Madam Lang in the 1990s, but the cult acquired a significant number of followers through another medium, Madam Xoan."
"What organization did Madam Xoan establish on January 1, 2001, and where?","She established on 1 January 2001 the Đạo Ngọc Phật Hồ Chí Minh (the Way of Hồ Chí Minh as the Jade Buddha), also known as Đạo Bác Hồ (the Way of Uncle Hồ) at đền Hòa Bình (the Peace Temple) in Chí Linh-Sao Đỏ district of Hải Dương province."
"What organization did Madam Xoan subsequently found, and what was its purpose?",She then founded the Peace Society of Heavenly Mediums (Đoàn đồng thiên Hòa Bình).
How many followers did the movement associated with Hồ Chí Minh as the Jade Emperor reportedly have by 2014?,"Reportedly, the movement had around 24,000 followers by 2014."
How has the Vietnamese government's attempts to immortalize Hồ Chí Minh been met?,The Vietnamese government's attempts to immortalize Hồ Chí Minh were also met with significant controversies and opposition.
What aspects of Hồ Chí Minh's personal life does the Vietnamese government consider sensitive?,The regime is sensitive to anything that might question the official hagiography.
What was William Duiker's book 'Ho Chi Minh: A Life' candid about regarding Hồ Chí Minh's personal life?,"This includes references to Hồ Chí Minh's personal life that might detract from the image of the dedicated ""father of the revolution"", the ""celibate married only to the cause of revolution""."
What official image of Hồ Chí Minh does the Vietnamese government strive to maintain?,William Duiker's Ho Chi Minh: A Life (2000) was candid on the matter of Hồ Chí Minh's liaisons.
What actions did the Vietnamese government take in response to cuts in the Vietnamese translation and the banning of distribution of an issue of the Far Eastern Economic Review?,", fn 58 The government sought cuts in the Vietnamese translation and banned distribution of an issue of the Far Eastern Economic Review, which carried a small item about the controversy."
What debate do many authors writing on Vietnam engage in regarding Hồ Chí Minh's ideology?,Many authors writing on Vietnam argued on the question of whether Hồ Chí Minh was fundamentally a nationalist or a Communist.
"Where are busts, statues, memorial plaques, and exhibitions of Hồ Chí Minh displayed?","Busts, statues, and memorial plaques and exhibitions are displayed in destinations on his extensive world journey in exile from 1911 to 1941 including France, the United Kingdom, Russia, China, and Thailand."
How did activists and musicians demonstrate against the United States during the Vietnam War?,Many activists and musicians wrote songs about Hồ Chí Minh and his revolution in different languages during the Vietnam War to demonstrate against the United States.
Which Spanish musicians composed songs about Hồ Chí Minh and his revolution?,"Spanish songs were composed by Félix Pita Rodríguez, Carlos Puebla and Alí Primera."
Who referenced Hồ Chí Minh in the anti-war song 'El derecho de vivir en paz'?,"In addition, the Chilean folk singer Víctor Jara referenced Hồ Chí Minh in his anti-war song ""El derecho de vivir en paz"" (""The Right to Live in Peace"")."
What song did Pete Seeger write about Hồ Chí Minh?,"Pete Seeger wrote ""Teacher Uncle Ho""."
Who produced 'The Ballad of Ho Chi Minh' in 1954?,"Ewan MacColl produced ""The Ballad of Ho Chi Minh"" in 1954, describing ""a man who is the father of the Indo-Chinese people, And his name is Ho Chi Minh."""
"Who wrote Russian songs about Hồ Chí Minh, and who wrote German songs about him?","Russian songs about him were written by Vladimir Fere, and German songs about him were written by Kurt Demmler."
"Where are various places, boulevards, and squares named after Hồ Chí Minh, especially?","Various places, boulevards, and squares are named after him around the world, especially in Socialist states and former Communist states."
"Where in Russia are there squares and monuments dedicated to Hồ Chí Minh, and what are some of their names?","In Russia, there is a Hồ Chí Minh square and monument in Moscow, a Hồ Chí Minh boulevard in Saint Petersburg, and a Hồ Chí Minh square in Ulyanovsk (the birthplace of Vladimir Lenin, a sister city of Vinh, the birthplace of Hồ Chí Minh)."
"During the Vietnam War, what action did the West Bengal government take regarding Harrington Street?","During the Vietnam War, the then-West Bengal government, in the hands of CPI(M), renamed Harrington Street to Ho Chi Minh Sarani, which is also the location of the consulate general of the United States in Kolkata."
"According to the Vietnamese Ministry of Foreign Affairs, how many countries across which continents have erected monuments or statues in remembrance of Hồ Chí Minh?","According to the Vietnamese Ministry of Foreign Affairs, as many as 20 countries across Asia, Europe, America and Africa have erected monuments or statues in remembrance of Hồ Chí Minh."
How is Hồ Chí Minh regarded in terms of his influence as a leader?,Hồ Chí Minh is considered one of the most influential leaders in the world.
In what list did Time magazine include Hồ Chí Minh in 1998?,Time magazine listed him in the list of 100 Most Important People of the Twentieth Century (Time 100) in 1998.
How did Hồ Chí Minh's thought and revolution impact leaders and people globally?,"His thought and revolution inspired many leaders and people on a global scale in Asia, Africa and Latin America during the decolonization movement which occurred after World War II."
"As a communist leader, how was Hồ Chí Minh perceived in the West compared to other Communist rulers?","As a communist, he was one of the few international figures who were relatively well regarded in the West, and did not face the same extent of international criticism as much as other Communist rulers and factions, even winning praise for his actions."
What did UNESCO recommend its member states do in commemoration of the centenary of the birth of President Hồ Chí Minh in 1987?,"In 1987, UNESCO officially recommended that its member states ""join in the commemoration of the centenary of the birth of President Hồ Chí Minh by organizing various events as a tribute to his memory"", considering ""the important and many-sided contributions of President Hồ Chí Minh to the fields of culture, education and the arts"" who ""devoted his whole life to the national liberation of the Vietnamese people, contributing to the common struggle of peoples for peace, national independence, democracy, and social progress""."
What significant contributions of Hồ Chí Minh did UNESCO acknowledge in its recommendation?,"One of Hồ Chí Minh's works, The Black Race, much of it originally written in French, highlights his views on the oppression of peoples from colonialism and imperialism in 20 written articles."
What are some of Hồ Chí Minh's notable works and what themes do they address?,"Other books such as Revolution which published selected works and articles of Hồ Chí Minh in English also highlighted Hồ Chí Minh's interpretation and beliefs in socialism and communism, and in fighting against what he perceived to be evils stemming from capitalism, colonialism, and imperialism."
